book_title,image_url,detail_page_url,book_price
Sharp Objects,../../media/cache/c0/59/c05972805aa7201171b8fc71a5b00292.jpg,../soumission_998/index.html,£47.82
Tipping the Velvet,../../media/cache/08/e9/08e94f3731d7d6b760dfbfbc02ca5c62.jpg,../a-light-in-the-attic_1000/index.html,£53.74
Rip it Up and Start Again,../../media/cache/81/7f/817f5089c0e6e62738dce2931e7323d3.jpg,../scott-pilgrims-precious-little-life-scott-pilgrim-1_987/index.html,£35.02
A Light in the Attic,../../media/cache/fe/72/fe72f0532301ec28892ae79a629a293c.jpg,,£51.77
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",../../media/cache/ad/96/ad96e9c9f1664cbcb0e9627b007fb6f9.jpg,../rip-it-up-and-start-again_986/index.html,£57.25
Soumission,../../media/cache/ee/cf/eecfe998905e455df12064dba399c075.jpg,../tipping-the-velvet_999/index.html,£50.10
Mesaerion: The Best Science Fiction Stories 1800-1849,../../media/cache/e8/1f/e81f850db9b9622c65619c9f15748de7.jpg,../olio_984/index.html,£37.59
Libertarianism for Beginners,../../media/cache/91/a4/91a46253e165d144ef5938f2d456b88f.jpg,../mesaerion-the-best-science-fiction-stories-1800-1849_983/index.html,£51.33
Olio,../../media/cache/b1/0e/b10eabab1e1c811a6d47969904fd5755.jpg,../our-band-could-be-your-life-scenes-from-the-american-indie-underground-1981-1991_985/index.html,£23.88
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),../../media/cache/97/27/97275841c81e66d53bf9313cba06f23e.jpg,../set-me-free_988/index.html,£52.29
Set Me Free,../../media/cache/b8/e9/b8e91bd2fc74c3954118999238abb4b8.jpg,../shakespeares-sonnets_989/index.html,£17.46
Shakespeare's Sonnets,../../media/cache/4d/7a/4d7a79a8be80a529b277ed5c4d8ba482.jpg,../starving-hearts-triangular-trade-trilogy-1_990/index.html,£20.66
"Starving Hearts (Triangular Trade Trilogy, #1)",../../media/cache/a0/7e/a07ed8f1c23f7b4baf7102722680bd30.jpg,../the-black-maria_991/index.html,£13.99
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,../../media/cache/d1/2d/d12d26739b5369a6b5b3024e4d08f907.jpg,../the-coming-woman-a-novel-based-on-the-life-of-the-infamous-feminist-victoria-woodhull_993/index.html,£22.60
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",../../media/cache/97/36/9736132a43b8e6e3989932218ef309ed.jpg,../the-dirty-little-secrets-of-getting-your-dream-job_994/index.html,£17.93
The Black Maria,../../media/cache/d1/7a/d17a3e313e52e1be5651719e4fba1d16.jpg,../the-boys-in-the-boat-nine-americans-and-their-epic-quest-for-gold-at-the-1936-berlin-olympics_992/index.html,£52.15
It's Only the Himalayas,../../media/cache/6d/41/6d418a73cc7d4ecfd75ca11d854041db.jpg,../libertarianism-for-beginners_982/index.html,£45.17
Sapiens: A Brief History of Humankind,../../media/cache/ce/5f/ce5f052c65cc963cf4422be096e915c9.jpg,../sharp-objects_997/index.html,£54.23
The Dirty Little Secrets of Getting Your Dream Job,../../media/cache/e1/1b/e11bea016d0ae1d7e2dd46fb3cb870b7.jpg,../the-requiem-red_995/index.html,£33.34
The Requiem Red,../../media/cache/6b/07/6b07b77236b7c80f42bd90bf325e69f6.jpg,../sapiens-a-brief-history-of-humankind_996/index.html,£22.65
In Her Wake,../../media/cache/27/92/2792ef951651ff1eae40a410cac41e0f.jpg,../the-rise-of-theodore-roosevelt-theodore-roosevelt-1_276/index.html,£12.84
Chase Me (Paris Nights #2),../../media/cache/6c/84/6c84fcf7a53b02b6e763de7272934842.jpg,../beyond-good-and-evil_6/index.html,£25.27
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",../../media/cache/9f/58/9f58d3ff6d58589eaf325b1a33c303a0.jpg,../house-of-lost-worlds-dinosaurs-dynasties-and-the-story-of-life-on-earth_170/index.html,£30.52
Black Dust,../../media/cache/a4/0a/a40af95beab828af1a4757ad1ee17da3.jpg,../chase-me-paris-nights-2_977/index.html,£34.53
How Music Works,../../media/cache/1d/40/1d4087ff0a63f09fae9cd8433d21c2c4.jpg,../so-youve-been-publicly-shamed_832/index.html,£37.32
